Glass Type,B1,B2,B3,C1,C2,C3
 N-BAK1 ,1.12365662,0.309276848,0.881511957,0.00644742752,0.0222284402,107.297751
 P-SK60 ,1.40790442,0.143381417,1.16513947,0.00784382378,0.0287769365,105.373397
 N-LAK7 ,1.23679889,0.445051837,1.01745888,0.00610105538,0.0201388334,90.638038
 N-SK4 ,1.32993741,0.228542996,0.988465211,0.00716874107,0.0246455892,100.886364
 N-K5 ,1.08511833,0.199562005,0.930511663,0.00661099503,0.024110866,111.982777
 P-SK57Q1 ,1.30536483,0.171434328,1.10117219,0.00736408831,0.0255786047,106.72606
 P-SK57 ,1.31053414,0.169376189,1.10987714,0.00740877235,0.0254563489,107.751087
 N-BAK2 ,1.01662154,0.319903051,0.937232995,0.00592383763,0.0203828415,113.118417
 N-LAK21 ,1.22718116,0.420783743,1.01284843,0.00602075682,0.0196862889,88.4370099
 N-SK16 ,1.34317774,0.241144399,0.994317969,0.00704687339,0.0229005,92.7508526
 K7 ,1.1273555,0.124412303,0.827100531,0.00720341707,0.0269835916,100.384588
 N-SK14 ,0.936155374,0.594052018,1.04374583,0.00461716525,0.016885927,103.736265
 N-SK11 ,1.17963631,0.229817295,0.935789652,0.00680282081,0.0219737205,101.513232
 P-SK58A ,1.3167841,0.171154756,1.12501473,0.00720717498,0.0245659595,102.739728
 N-ZK7 ,1.07715032,0.168079109,0.851889892,0.00676601657,0.0230642817,89.0498778
 N-SK5 ,0.991463823,0.495982121,0.987393925,0.00522730467,0.0172733646,98.3594579
 N-PSK53A ,1.38121836,0.196745645,0.886089205,0.00706416337,0.0233251345,97.4847345
 N-PSK3 ,0.88727211,0.489592425,1.04865296,0.00469824067,0.0161818463,104.374975
 P-BK7 ,1.18318503,0.0871756426,1.03133701,0.00722141956,0.0268216805,101.702362
 N-BK7 ,1.03961212,0.231792344,1.01046945,0.00600069867,0.0200179144,103.560653
 N-BK7HT ,1.03961212,0.231792344,1.01046945,0.00600069867,0.0200179144,103.560653
 N-BK7HTi ,1.03961212,0.231792344,1.01046945,0.00600069867,0.0200179144,103.560653
 N-BK10 ,0.888308131,0.328964475,0.984610769,0.00516900822,0.0161190045,99.7575331
 N-FK5 ,0.844309338,0.344147824,0.910790213,0.00475111955,0.0149814849,97.8600293
 FK5HTi ,0.90936218,0.279077054,0.891813298,0.0052014247,0.0158938446,95.9109448
 N-PK51 ,1.15610775,0.153229344,0.785618966,0.00585597402,0.0194072416,140.537046
 N-PK52A ,1.029607,0.1880506,0.736488165,0.00516800155,0.0166658798,138.964129
 N-FK51A ,0.971247817,0.216901417,0.904651666,0.00472301995,0.0153575612,168.68133
 N-FK58 ,0.738042712,0.363371967,0.989296264,0.00339065607,0.0117551189,212.842145
S-NPH3,2.09834903,0.489088388,2.94009268,0.0179123869,0.0179123869,160.930428
S-NPH2,2.0386951,0.437269641,2.96711461,0.0170796224,0.0170796224,174.155354
S-NPH1,1.75156623,0.364006304,2.47874141,0.0135004681,0.0135004681,170.756006
S-TIH53,1.87904886,0.369719775,2.33730863,0.014412177,0.014412177,182.66818
S-TIH53W,1.87904886,0.369719775,2.33730863,0.014412177,0.063881799,182.66818
S-NPH53,1.85484904,0.396194484,2.43512461,0.0134621486,0.0134621486,170.864886
S-TIH6,1.77227611,0.34569125,2.40788501,0.0131182633,0.0131182633,200.753254
S-TIH11,1.72677471,0.324568628,2.65816809,0.0129369958,0.0129369958,221.904637
S-TIH23,1.73986485,0.313894918,2.31093206,0.01294413,0.01294413,197.420482
S-TIH14,1.68915108,0.290462024,2.37971516,0.0128202514,0.0128202514,201.094352
S-TIH4,1.66755531,0.294411865,2.49422119,0.0122052137,0.0122052137,214.869618
S-TIH13,1.62224674,0.293844589,1.99225164,0.0118368386,0.0118368386,171.959976
S-LAH79,2.32557148,0.507967133,2.43087198,0.0132895208,0.0132895208,161.122408
S-TIH3,1.64797648,0.267261917,2.19772845,0.0121917693,0.0121917693,192.15834
S-TIH10,1.61549392,0.262433239,2.09426189,0.0119830897,0.0119830897,181.657554
S-TIH18,1.59921608,0.259532164,2.12454543,0.0116469304,0.0116469304,186.927779
S-TIH1,1.60326759,0.242980935,1.81313592,0.0118019139,0.0118019139,161.218747
S-NBH55,1.83145156,0.287818024,2.152083,0.0122443139,0.0122443139,186.099124
S-TIM35,1.55849775,0.230767007,1.84436099,0.0115367235,0.0115367235,162.981888
S-TIM28,1.5427081,0.217113891,1.81904459,0.0113925005,0.0113925005,167.697189
S-LAH88,2.1284434,0.405082139,1.67918461,0.0117309815,0.0508706599,107.091456
S-TIM25,1.50659233,0.204786135,1.92036668,0.0109501562,0.0109501562,178.128535
S-NBH53,1.6582834,0.263275666,2.10142759,0.0113872516,0.0113872516,165.523649
S-LAH71,1.98280031,0.31675845,2.44472646,0.0118987459,0.0118987459,213.220697
S-TIM39,1.47008105,0.224752746,2.44968592,0.0102900432,0.0102900432,237.43494
S-TIM22,1.44222294,0.194432265,1.74092482,0.0104249404,0.0104249404,169.710769
S-TIM27,1.4168047,0.196785057,1.68001322,0.0100732158,0.0100732158,164.672436
S-NBH8,1.61344136,0.257295888,1.98364455,0.0106386752,0.0106386752,159.784404
S-LAM66,1.92094221,0.219901208,1.72705231,0.0115075241,0.0115075241,120.133674
S-FTM16,1.32940907,0.141512125,1.44299068,0.0102377287,0.0102377287,150.597139
S-LAM7,1.71014712,0.256943292,1.63986271,0.010516108,0.010516108,146.181217
S-NBH51,1.71203689,0.255989588,1.81456998,0.0107724134,0.0107724134,136.359013
S-TIM1,1.4496383,0.122986408,1.38066723,0.0112094282,0.0112094282,138.178326
PBM2Y,1.39446503,0.159230985,0.245470216,0.0110571872,0.0507194882,31.4440142
S-TIM2,1.42193846,0.133827968,1.45060574,0.0107291511,0.0107291511,145.381805
S-TIM3,1.40691144,0.128369745,1.51826191,0.0105633641,0.0105633641,152.107924
